INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	描述	代号	类型	def1 3001原价 3002宝箱类型1免费2付费 3003消耗体力 3004正确答案 3005金额	def2 3001现价 3002是否稀有0否1是 3004错误答案	def3 3001折扣 3002权重 3004错误答案	type	value1	value2	value3	type	value1	value2	value3	type	value1	value2	value3
3001001	觉醒之力	t_manyou_qiyu_3001001	3001	5000	1500	30	2	50130001	5	0								
3001002	光元素	t_manyou_qiyu_3001002	3001	6650	1330	20	2	50150001	1330	0								
3001003	金币	t_manyou_qiyu_3001003	3001	6460	1615	25	1	1	6460000	0								
3001004	队形强化装置	t_manyou_qiyu_3001004	3001	5610	1963	35	2	50140001	1870	0								
3001005	回忆结晶	t_manyou_qiyu_3001005	3001	3140	942	30	1	21	3140	0								
3001006	精炼金属	t_manyou_qiyu_3001006	3001	6000	1800	30	2	50070001	1200	0								
3001007	神之金属	t_manyou_qiyu_3001007	3001	7000	2100	30	2	50100001	1400	0								
3001008	能力水晶	t_manyou_qiyu_3001008	3001	12000	1800	15	2	50090001	800	0								
3002001	能力水晶	t_manyou_qiyu_3002001	3002	2	1	10	2	50090001	200	0								
3002002	队形强化装置	t_manyou_qiyu_3002002	3002	2	1	10	2	50140001	300	0								
3002003	精炼金属	t_manyou_qiyu_3002003	3002	2	1	10	2	50070001	200	0								
3002004	神之金属	t_manyou_qiyu_3002004	3002	2	1	10	2	50100001	200	0								
3002005	能力水晶	t_manyou_qiyu_3002005	3002	2	0	100	2	50090001	50	0								
3002006	队形强化装置	t_manyou_qiyu_3002006	3002	2	0	100	2	50140001	100	0								
3002007	精炼金属	t_manyou_qiyu_3002007	3002	2	0	100	2	50070001	50	0								
3002008	神之金属	t_manyou_qiyu_3002008	3002	2	0	100	2	50100001	50	0								
3002009	能力水晶	t_manyou_qiyu_3002009	3002	1	1	2	2	50090001	100	0								
3002010	队形强化装置	t_manyou_qiyu_3002010	3002	1	1	2	2	50140001	200	0								
3002011	精炼金属	t_manyou_qiyu_3002011	3002	1	1	2	2	50070001	100	0								
3002012	神之金属	t_manyou_qiyu_3002012	3002	1	1	2	2	50100001	100	0								
3002013	能力水晶	t_manyou_qiyu_3002013	3002	1	0	100	2	50090001	30	0								
3002014	队形强化装置	t_manyou_qiyu_3002014	3002	1	0	100	2	50140001	50	0								
3002015	精炼金属	t_manyou_qiyu_3002015	3002	1	0	100	2	50070001	30	0								
3002016	神之金属	t_manyou_qiyu_3002016	3002	1	0	100	2	50100001	30	0								
3003001	星际守卫	t_manyou_qiyu_3003001	3003	10			1	10	1500	0								
3003002	星际守卫	t_manyou_qiyu_3003002	3003	10			1	14	1500	0								
3003003	星际守卫	t_manyou_qiyu_3003003	3003	10			1	22	1500	0								
3004001	女神答题	t_manyou_qiyu_3004001	3004	101	102	103	1	5	300	0								
3004002	女神答题	t_manyou_qiyu_3004002	3004	201	202	203	1	21	300	0								
3004003	女神答题	t_manyou_qiyu_3004003	3004	301	302	303	1	5	300	0								
3004004	女神答题	t_manyou_qiyu_3004004	3004	401	402	403	1	21	300	0								
3004005	女神答题	t_manyou_qiyu_3004005	3004	501	502	503	1	5	300	0								
3004006	女神答题	t_manyou_qiyu_3004006	3004	601	602	603	1	21	300	0								
3004007	女神答题	t_manyou_qiyu_3004007	3004	701	702	703	1	5	300	0								
3004008	女神答题	t_manyou_qiyu_3004008	3004	801	802	803	1	21	300	0								
3004009	女神答题	t_manyou_qiyu_3004009	3004	901	902	903	1	5	300	0								
3004010	女神答题	t_manyou_qiyu_3004010	3004	1001	1002	1003	1	21	300	0								
3004011	女神答题	t_manyou_qiyu_3004011	3004	1101	1102	1103	1	5	300	0								
3004012	女神答题	t_manyou_qiyu_3004012	3004	1201	1202	1203	1	21	300	0								
3004013	女神答题	t_manyou_qiyu_3004013	3004	1301	1302	1303	1	5	300	0								
3004014	女神答题	t_manyou_qiyu_3004014	3004	1401	1402	1403	1	21	300	0								
3004015	女神答题	t_manyou_qiyu_3004015	3004	1501	1502	1503	1	5	300	0								
3004016	女神答题	t_manyou_qiyu_3004016	3004	1601	1602	1603	1	21	300	0								
3004017	女神答题	t_manyou_qiyu_3004017	3004	1701	1702	1703	1	5	300	0								
3004018	女神答题	t_manyou_qiyu_3004018	3004	1801	1802	1803	1	21	300	0								
3004019	女神答题	t_manyou_qiyu_3004019	3004	1901	1902	1903	1	5	300	0								
3004020	女神答题	t_manyou_qiyu_3004020	3004	2001	2002	2003	1	21	300	0								
3004021	女神答题	t_manyou_qiyu_3004021	3004	2101	2102	2103	1	5	300	0								
3004022	女神答题	t_manyou_qiyu_3004022	3004	2201	2202	2203	1	21	300	0								
3004023	女神答题	t_manyou_qiyu_3004023	3004	2301	2302	2303	1	5	300	0								
3004024	女神答题	t_manyou_qiyu_3004024	3004	2401	2402	2403	1	21	300	0								
3004025	女神答题	t_manyou_qiyu_3004025	3004	2501	2502	2503	1	5	300	0								
3004026	女神答题	t_manyou_qiyu_3004026	3004	2601	2602	2603	1	21	300	0								
3004027	女神答题	t_manyou_qiyu_3004027	3004	2701	2702	2703	1	5	300	0								
3004028	女神答题	t_manyou_qiyu_3004028	3004	2801	2802	2803	1	21	300	0								
3004029	女神答题	t_manyou_qiyu_3004029	3004	2901	2902	2903	1	5	300	0								
3004030	女神答题	t_manyou_qiyu_3004030	3004	3001	3002	3003	1	21	300	0								
3004031	女神答题	t_manyou_qiyu_3004031	3004	3101	3102	3103	1	5	300	0								
3004032	女神答题	t_manyou_qiyu_3004032	3004	3201	3202	3203	1	21	300	0								
3004033	女神答题	t_manyou_qiyu_3004033	3004	3301	3302	3303	1	5	300	0								
3004034	女神答题	t_manyou_qiyu_3004034	3004	3401	3402	3403	1	21	300	0								
3004035	女神答题	t_manyou_qiyu_3004035	3004	3501	3502	3503	1	5	300	0								
3004036	女神答题	t_manyou_qiyu_3004036	3004	3601	3602	3603	1	21	300	0								
3004037	女神答题	t_manyou_qiyu_3004037	3004	3701	3702	3703	1	5	300	0								
3004038	女神答题	t_manyou_qiyu_3004038	3004	3801	3802	3803	1	21	300	0								
3004039	女神答题	t_manyou_qiyu_3004039	3004	3901	3902	3903	1	5	300	0								
3004040	女神答题	t_manyou_qiyu_3004040	3004	4001	4002	4003	1	21	300	0								
3004041	女神答题	t_manyou_qiyu_3004041	3004	4101	4102	4103	1	5	300	0								
3004042	女神答题	t_manyou_qiyu_3004042	3004	4201	4202	4203	1	21	300	0								
3004043	女神答题	t_manyou_qiyu_3004043	3004	4301	4302	4303	1	5	300	0								
3004044	女神答题	t_manyou_qiyu_3004044	3004	4401	4402	4403	1	21	300	0								
3004045	女神答题	t_manyou_qiyu_3004045	3004	4501	4502	4503	1	5	300	0								
3004046	女神答题	t_manyou_qiyu_3004046	3004	4601	4602	4603	1	21	300	0								
3004047	女神答题	t_manyou_qiyu_3004047	3004	4701	4702	4703	1	5	300	0								
3004048	女神答题	t_manyou_qiyu_3004048	3004	4801	4802	4803	1	21	300	0								
3004049	女神答题	t_manyou_qiyu_3004049	3004	4901	4902	4903	1	5	300	0								
3004050	女神答题	t_manyou_qiyu_3004050	3004	5001	5002	5003	1	21	300	0								
3004051	女神答题	t_manyou_qiyu_3004051	3004	5101	5102	5103	1	5	300	0								
3004052	女神答题	t_manyou_qiyu_3004052	3004	5201	5202	5203	1	21	300	0								
