INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
排名1	排名2	type	value1	value2	value3	type	value1	value2	value3	type	value1	value2	value3
1	1	2	10030007	3	0	2	50090001	600	0	2	50100001	1200	0
2	2	2	10030007	2	0	2	50090001	550	0	2	50100001	1100	0
3	3	2	10030007	2	0	2	50090001	500	0	2	50100001	1000	0
4	5	2	10030007	1	0	2	50090001	480	0	2	50100001	950	0
6	10	2	50090001	460	0	2	50100001	900	0				
11	15	2	50090001	440	0	2	50100001	850	0				
16	20	2	50090001	420	0	2	50100001	800	0				
21	30	2	50090001	400	0	2	50100001	750	0				
31	40	2	50090001	380	0	2	50100001	700	0				
41	50	2	50090001	350	0	2	50100001	650	0				
51	60	2	50090001	320	0	2	50100001	600	0				
61	70	2	50090001	290	0	2	50100001	550	0				
71	80	2	50090001	260	0	2	50100001	500	0				
81	90	2	50090001	230	0	2	50100001	450	0				
91	100	2	50090001	200	0	2	50100001	400	0				
