INT	STRING	STRING	INT
id	国家代号	图片	语言
0	ISO 3166-2	gq_000	2
1	AL	gq_001	2
2	DZ	gq_002	2
3	AF	gq_003	2
4	AR	gq_004	2
5	AE	gq_005	2
6	OM	gq_006	2
7	AZ	gq_007	2
8	EG	gq_008	2
9	IE	gq_009	2
10	EE	gq_010	2
11	AD	gq_011	2
12	AO	gq_012	2
13	AT	gq_013	2
14	AU	gq_014	2
15	MO	gq_015	1
16	PK	gq_016	2
17	PY	gq_017	2
18	PS	gq_018	2
19	BH	gq_019	2
20	PA	gq_020	2
21	BR	gq_021	2
22	BY	gq_022	2
23	BG	gq_023	2
24	BJ	gq_024	2
25	BE	gq_025	2
26	IS	gq_026	2
27	PL	gq_027	2
28	BO	gq_028	2
29	BW	gq_029	2
30	BT	gq_030	2
31	KP	gq_031	2
32	DK	gq_032	2
33	DE	gq_033	2
34	TL	gq_034	2
35	TG	gq_035	2
36	DO	gq_036	2
37	DM	gq_037	2
38	EU	gq_038	2
39	EC	gq_039	2
40	FR	gq_040	2
41	VA	gq_041	2
42	PH	gq_042	2
43	FJ	gq_043	2
44	FI	gq_044	2
45	CG	gq_045	2
46	CD	gq_046	2
47	CO	gq_047	2
48	CR	gq_048	2
49	GD	gq_049	2
50	GE	gq_050	2
51	CU	gq_051	2
52	GY	gq_052	2
53	KZ	gq_053	2
54	HT	gq_054	2
55	KR	gq_055	2
56	NL	gq_056	2
57	HN	gq_057	2
58	DJ	gq_058	2
59	KG	gq_059	2
60	GN	gq_060	2
61	GW	gq_061	2
62	CA	gq_062	2
63	GH	gq_063	2
64	GA	gq_064	2
65	KH	gq_065	2
66	CZ	gq_066	2
67	ZW	gq_067	2
68	CM	gq_068	2
69	QA	gq_069	2
70	KM	gq_070	2
71	CI	gq_071	2
72	KW	gq_072	2
73	HR	gq_073	2
74	KE	gq_074	2
75	LV	gq_075	2
76	LS	gq_076	2
77	LA	gq_077	2
78	LB	gq_078	2
79	LT	gq_079	2
80	LR	gq_080	2
81	LY	gq_081	2
82	LI	gq_082	2
83	LU	gq_083	2
84	RW	gq_084	2
85	RO	gq_085	2
86	MG	gq_086	2
87	MT	gq_087	2
88	MY	gq_088	2
89	ML	gq_089	2
90	MK	gq_090	2
91	MU	gq_091	2
92	US	gq_092	2
93	MN	gq_093	2
94	BD	gq_094	2
95	PE	gq_095	2
96	MM	gq_096	2
97	MD	gq_097	2
98	MA	gq_098	2
99	MC	gq_099	2
100	MZ	gq_100	2
101	MX	gq_101	2
102	NA	gq_102	2
103	ZA	gq_103	2
104	NG	gq_104	2
105	NO	gq_105	2
106	PW	gq_106	2
107	PT	gq_107	2
108	JP	gq_108	2
109	SE	gq_109	2
110	CH	gq_110	2
111	SV	gq_111	2
112	RS	gq_112	2
113	SL	gq_113	2
114	SN	gq_114	2
115	CY	gq_115	2
116	SA	gq_116	2
117	LK	gq_117	2
118	SK	gq_118	2
119	SI	gq_119	2
120	SD	gq_120	2
121	SR	gq_121	2
122	SB	gq_122	2
123	TJ	gq_123	2
124	TH	gq_124	2
125	TZ	gq_125	2
126	TN	gq_126	2
127	TR	gq_127	2
128	UA	gq_128	2
129	UY	gq_129	2
130	ES	gq_130	2
131	GR	gq_131	2
132	HK	gq_132	1
133	SG	gq_133	2
134	NZ	gq_134	2
135	HU	gq_135	2
136	SY	gq_136	2
137	JM	gq_137	2
138	AM	gq_138	2
139	IQ	gq_139	2
140	IR	gq_140	2
141	IL	gq_141	2
142	IT	gq_142	2
143	IN	gq_143	2
144	ID	gq_144	2
145	gq_ygl	gq_ygl	2
146	GB	gq_146	2
147	JO	gq_147	2
148	VN	gq_148	2
149	CL	gq_149	2
150	CN	gq_150	0
151	TW	gq_151	1
