INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
次数	点金	扩充	副本购买	重置星河秘境	刷新援救伙伴	军团副本购买	原力药剂	体力药水	能量药水	金色装备箱	金色饰品箱	魔王邀请函	改名	猎人大会购买	决战冰原购买	探宝次数	幸运转盘	豪华转盘	太空漫游	大师联赛	九宫魔方	军团战
1	5	50	20	50	20	10	20	10	10	30	30	5	200	20	100	5	10	100	20	40	26	200
2	10	100	30	100	20	20	20	10	10	40	40	5	400	20	250	5	10	100	20	40	26	400
3	20	200	50	200	20	30	40	10	10	50	50	5	800	30	400	5	10	100	20	60	26	600
4	20	400	100	300	20	30	40	20	20	60	60	5	1600	30	600	5	10	100	20	60	26	800
5	20	800	200	400	20	40	60	20	20	80	80	5	3200	30	700	5	10	100	20	60	26	1000
6	40	800	300	500	40	40	60	20	20	100	100	10	3200	50	800	5	10	100	20	100	26	1200
7	40	800	400	600	40	50	80	30	30	120	120	10	3200	50	900	5	10	100	20	100	26	1400
8	40	800	400	700	40	50	80	30	30	150	150	10	3200	50	1000	5	10	100	20	100	26	1600
9	40	800	400	800	40	60	120	30	30	150	150	10	3200	50	1000	5	10	100	20	100	26	1800
10	40	800	400	400	40	60	120	30	30	150	150	10	3200	50	1000	5	10	100	20	100	53	2000
11	60	800	400	400	40	70	160	40	40	180	180	20	3200	80	1000	5	10	150	20	160	53	2200
12	60	800	400	400	60	70	160	40	40	180	180	20	3200	80	1000	5	10	150	20	160	53	2400
13	60	800	400	400	60	80	160	40	40	180	180	20	3200	80	1000	5	10	150	20	160	53	2600
14	60	800	400	400	60	80	160	40	40	210	210	20	3200	80	1000	5	10	150	20	160	53	2800
15	60	800	400	400	60	90	160	40	40	210	210	20	3200	80	1000	5	10	150	20	160	53	3000
16	60	800	400	400	80	90	160	50	50	210	210	20	3200	100	1000	5	10	150	20	200	53	3200
17	80	800	400	400	80	100	160	50	50	240	240	20	3200	100	1000	5	10	150	20	200	53	3400
18	80	800	400	400	80	100	160	50	50	240	240	20	3200	100	1000	5	10	150	20	200	53	3600
19	80	800	400	400	80	110	160	50	50	240	240	20	3200	100	1000	5	10	150	20	200	53	3800
20	80	800	400	400	80	110	160	50	50	270	240	20	3200	100	1000	5	10	150	20	200	53	4000
21	80	800	400	400	100	120	160	80	80	270	240	30	3200	100	1000	10	10	200	20	200	53	4200
22	80	800	400	400	100	120	160	80	80	270	240	30	3200	100	1000	10	10	200	20	200	53	4400
23	120	800	400	400	100	130	160	80	80	300	240	30	3200	100	1000	10	10	200	20	200	53	4600
24	120	800	400	400	100	130	160	80	80	300	240	30	3200	100	1000	10	10	200	20	200	53	4800
25	120	800	400	400	100	140	160	80	80	300	240	30	3200	100	1000	10	10	200	20	200	53	5000
26	120	800	400	400	100	140	160	100	100	300	240	30	3200	150	1000	10	10	200	20	300	53	5200
27	120	800	400	400	100	150	160	100	100	300	240	30	3200	150	1000	10	10	200	20	300	53	5400
28	120	800	400	400	100	150	160	100	100	300	240	30	3200	150	1000	10	10	200	20	300	63	5600
29	120	800	400	400	100	160	160	100	100	300	240	30	3200	150	1000	10	10	200	20	300	63	5800
30	120	800	400	400	100	160	160	100	100	300	240	30	3200	150	1000	10	10	200	20	300	63	6000
31	160	800	400	400	120	170	160	120	120	300	240	40	3200	150	1000	10	10	250	20	300	63	6200
32	160	800	400	400	120	170	160	120	120	300	240	40	3200	150	1000	10	10	250	20	300	63	6400
33	160	800	400	400	120	180	160	120	120	300	240	40	3200	150	1000	10	10	250	20	300	63	6600
34	160	800	400	400	120	180	160	120	120	300	240	40	3200	150	1000	10	10	250	20	300	63	6800
35	160	800	400	400	120	190	160	120	120	300	240	40	3200	150	1000	10	10	250	20	300	63	7000
36	160	800	400	400	120	190	200	150	150	300	240	40	3200	200	1000	10	10	250	20	400	63	7200
37	160	800	400	400	120	200	200	150	150	300	240	40	3200	200	1000	10	10	250	20	400	80	7400
38	160	800	400	400	120	200	200	150	150	300	240	40	3200	200	1000	10	10	250	20	400	80	7600
