INT	STRING	STRING	INT	STRING	STRING	STRING	INT	INT	STRING	STRING
id	name	代号	role	icon	icon1	res	获取途径1突破 2进阶 3默认 4活动 5军团商店	获取等级	获得描述	代号
201003	中国风旗袍	t_dress_role_name300000	201	ts_hbsz_003d		body_04	5		从军团商店获得	t_dress_role_get_desc_300000
202003	中国风旗袍	t_dress_role_name300000	202	ts_hbsz_006d		body_04	5		从军团商店获得	t_dress_role_get_desc_300000
203003	中国风旗袍	t_dress_role_name300000	203	ts_hbsz_002d		body_04	5		从军团商店获得	t_dress_role_get_desc_300000
204003	中国风旗袍	t_dress_role_name300000	204	ts_hbsz_008d		body_04	5		从军团商店获得	t_dress_role_get_desc_300000
205003	中国风旗袍	t_dress_role_name300000	205	ts_hbsz_011d		body_04	5		从军团商店获得	t_dress_role_get_desc_300000
206003	中国风旗袍	t_dress_role_name300000	206	ts_hbsz_004d		body_04	5		从军团商店获得	t_dress_role_get_desc_300000
207003	中国风旗袍	t_dress_role_name300000	207	ts_hbsz_009d		body_04	5		从军团商店获得	t_dress_role_get_desc_300000
208003	中国风旗袍	t_dress_role_name300000	208	ts_hbsz_012d		body_04	5		从军团商店获得	t_dress_role_get_desc_300000
209003	中国风旗袍	t_dress_role_name300000	209	ts_hbsz_010d		body_04	5		从军团商店获得	t_dress_role_get_desc_300000
211003	中国风旗袍	t_dress_role_name300000	211	ts_hbsz_007d		body_04	5		从军团商店获得	t_dress_role_get_desc_300000
212003	中国风旗袍	t_dress_role_name300000	212	ts_hbsz_014d		body_04	5		从军团商店获得	t_dress_role_get_desc_300000
213003	中国风旗袍	t_dress_role_name300000	213	ts_hbsz_022d		body_04	4		通过运营活动获得	t_dress_role_get_desc_400000
214003	中国风旗袍	t_dress_role_name300000	214	ts_hbsz_023d		body_04	4		通过运营活动获得	t_dress_role_get_desc_400000
215003	中国风旗袍	t_dress_role_name300000	215	ts_hbsz_021d		body_04	4		通过运营活动获得	t_dress_role_get_desc_400000
400003	中国风旗袍	t_dress_role_name300000	400	ts_hbsz_013d		body_04	4		通过运营活动获得	t_dress_role_get_desc_400000
401003	中国风旗袍	t_dress_role_name300000	401	ts_hbsz_005d		body_04	4		通过运营活动获得	t_dress_role_get_desc_400000
402003	中国风旗袍	t_dress_role_name300000	402	ts_hbsz_015d		body_04	4		通过运营活动获得	t_dress_role_get_desc_400000
403003	中国风旗袍	t_dress_role_name300000	403	ts_hbsz_016d		body_04	4		通过运营活动获得	t_dress_role_get_desc_400000
404003	中国风旗袍	t_dress_role_name300000	404	ts_hbsz_019d		body_04	4		通过运营活动获得	t_dress_role_get_desc_400000
405003	中国风旗袍	t_dress_role_name300000	405	ts_hbsz_026d		body_04	4		通过运营活动获得	t_dress_role_get_desc_400000
406003	中国风旗袍	t_dress_role_name300000	406	ts_hbsz_020d		body_04	4		通过运营活动获得	t_dress_role_get_desc_400000
500003	中国风旗袍	t_dress_role_name300000	500	ts_hbsz_017d		body_04	4		通过运营活动获得	t_dress_role_get_desc_400000
501003	中国风旗袍	t_dress_role_name300000	501	ts_hbsz_018d		body_04	4		通过运营活动获得	t_dress_role_get_desc_400000
502003	中国风旗袍	t_dress_role_name300000	502	ts_hbsz_025d		body_04	4		通过运营活动获得	t_dress_role_get_desc_400000
503003	中国风旗袍	t_dress_role_name300000	503	ts_hbsz_024d		body_04	4		通过运营活动获得	t_dress_role_get_desc_400000
504003	中国风旗袍	t_dress_role_name300000	504	ts_hbsz_027d		body_04	4		通过运营活动获得	t_dress_role_get_desc_400000
505003	中国风旗袍	t_dress_role_name300000	505	ts_hbsz_028d		body_04	4		通过运营活动获得	t_dress_role_get_desc_400000
201002	水手服	t_dress_role_name200000	201	ts_hbsz_003c		body_03	1	8	突破至8星可解锁	t_dress_role_get_desc_200000
202002	水手服	t_dress_role_name200000	202	ts_hbsz_006c		body_03	1	8	突破至8星可解锁	t_dress_role_get_desc_200000
203002	水手服	t_dress_role_name200000	203	ts_hbsz_002c		body_03	1	8	突破至8星可解锁	t_dress_role_get_desc_200000
204002	水手服	t_dress_role_name200000	204	ts_hbsz_008c		body_03	1	8	突破至8星可解锁	t_dress_role_get_desc_200000
205002	水手服	t_dress_role_name200000	205	ts_hbsz_011c		body_03	1	8	突破至8星可解锁	t_dress_role_get_desc_200000
