INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	INT	STRING
等级	称号	代号	level	通用材料	通用材料数量	防御材料	防御材料数	防御材料数1	攻击材料	攻击材料数	攻击材料数1	魔法材料	魔法材料数	魔法材料数1	属性加成百分比	金币	全属性提升	ICON
0	E级猎人	t_jinjie_tittle_0																xzjb_0
1	[ffffff]D级猎人[-]	t_jinjie_tittle_1	1	40040001	30	40030001	1	2	40030002	1	2	40030003	1	2	0.6	10000		xzjb_1
2	[ffffff]DD级猎人[-]	t_jinjie_tittle_2	4	40040001	100	40030001	2	4	40030002	2	4	40030003	2	4	0.65	20000		xzjb_2
3	[28e958]C级猎人[-]	t_jinjie_tittle_3	14	40040001	200	40030011	4	8	40030012	4	8	40030013	4	8	0.7	30000		xzjb_3
4	[28e958]CC级猎人[-]	t_jinjie_tittle_4	24	40040001	300	40030011	10	20	40030012	10	20	40030013	10	20	0.75	50000		xzjb_4
5	[28e958]CCC级猎人[-]	t_jinjie_tittle_5	34	40040001	400	40030011	16	32	40030012	16	32	40030013	16	32	0.8	100000		xzjb_5
6	[33fff5]B级猎人[-]	t_jinjie_tittle_6	44	40040001	500	40030021	18	36	40030022	18	36	40030023	18	36	0.85	200000		xzjb_6
7	[33fff5]BB级猎人[-]	t_jinjie_tittle_7	54	40040001	600	40030021	20	40	40030022	20	40	40030023	20	40	0.9	300000		xzjb_7
8	[33fff5]BBB级猎人[-]	t_jinjie_tittle_8	59	40040001	800	40030021	22	44	40030022	22	44	40030023	22	44	0.95	350000		xzjb_8
9	[f908f8]A级猎人[-]	t_jinjie_tittle_9	64	40040001	1000	40030031	24	48	40030032	24	48	40030033	24	48	1	400000		xzjb_9
10	[f908f8]AA级猎人[-]	t_jinjie_tittle_10	69	40040001	1300	40030031	27	54	40030032	27	54	40030033	27	54	1.05	450000		xzjb_10
11	[f908f8]AAA级猎人[-]	t_jinjie_tittle_11	74	40040001	1600	40030031	30	60	40030032	30	60	40030033	30	60	1.1	500000		xzjb_11
12	[f98c20]S级猎人[-]	t_jinjie_tittle_12	79	40040001	2000	40030041	40	80	40030042	40	80	40030043	40	80	1.15	750000		xzjb_12
13	[f98c20]SS级猎人[-]	t_jinjie_tittle_13	84	40040001	2400	40030041	50	100	40030042	50	100	40030043	50	100	1.2	1000000		xzjb_13
14	[f98c20]SSS级猎人[-]	t_jinjie_tittle_14	89	40040001	3900	40030041	60	120	40030042	60	120	40030043	60	120	1.25	1500000		xzjb_14
15	[f92020]王牌猎人I[-]	t_jinjie_tittle_15	94	40040001	4500	40030051	80	160	40030052	80	160	40030053	80	160	1.3	1800000	2	xzjb_16
16	[f92020]王牌猎人II[-]	t_jinjie_tittle_16	99	40040001	5200	40030051	100	200	40030052	100	200	40030053	100	200	1.35	2500000	2	xzjb_17
17	[f92020]王牌猎人III[-]	t_jinjie_tittle_17	104	40040001	6000	40030051	130	260	40030052	130	260	40030053	130	260	1.4	5000000	3	xzjb_18
18	[f92020]王牌猎人IV[-]	t_jinjie_tittle_18	109	40040001	6900	40030051	160	320	40030052	160	320	40030053	160	320	1.45	8000000	3	xzjb_19
19	[ffff00]王牌猎人V[-]	t_jinjie_tittle_19	114	40040001	7900	40030051	200	400	40030052	200	400	40030053	200	400	1.5	12000000	4	xzjb_20
20	[ffff00]宇宙猎人I[-]	t_jinjie_tittle_20	119	40040001	9000	40030061	240	480	40030062	240	480	40030063	240	480	1.55	15000000	4	xzjb_21
21	[ffff00]宇宙猎人II[-]	t_jinjie_tittle_21	124	40040001	10200	40030061	280	560	40030062	280	560	40030063	280	560	1.6	20000000	5	xzjb_22
22	[ffff00]宇宙猎人III[-]	t_jinjie_tittle_22	129	40040001	11500	40030061	330	660	40030062	330	660	40030063	330	660	1.65	30000000	5	xzjb_23
23	[ffff00]宇宙猎人IV[-]	t_jinjie_tittle_23	134	40040001	12900	40030061	380	760	40030062	380	760	40030063	380	760	1.7	40000000	6	xzjb_24
24	[ffff00]宇宙猎人V[-]	t_jinjie_tittle_24	139	40040001	14400	40030061	430	860	40030062	430	860	40030063	430	860	1.75	50000000	6	xzjb_25
