INT	INT	INT	STRING	INT	INT	INT	INT	INT
id	level1	level2	desc	type	value1	value2	value3	weight
1	0	999	金币	1	1	0	0	60000
2	15	999	金币	1	1	0	0	20000
3	40	999	金币	1	1	0	0	20000
4	0	999	钻石	1	2	10	0	1000
5	30	999	钻石	1	2	10	0	1000
6	0	999	战魂	1	5	30	0	5000
7	0	999	体力药水	2	10010002	1	0	1000
8	0	999	能量药水	2	10010007	1	0	1000
9	0	999	金色装备箱	2	10010034	1	0	1000
10	0	999	金色饰品箱	2	10010061	1	0	4000
11	0	999	强尼团长碎片	2	30010004	1	0	2000
12	0	999	强袭天使碎片	2	30010006	1	0	800
13	0	999	炮击天使碎片	2	30010007	1	0	800
14	0	999	斩击天使碎片	2	30010008	1	0	800
15	0	999	阿米巴碎片	2	30010023	1	0	2000
16	0	999	女武神碎片	2	30010024	1	0	800
17	0	999	苍破将军碎片	2	30010026	1	0	2000
18	0	999	机甲将军碎片	2	30010027	1	0	800
19	0	999	机械女仆碎片	2	30010035	1	0	800
20	0	999	黄金神王碎片	2	30010036	1	0	800
21	0	999	白银神王碎片	2	30010037	1	0	2000
22	0	999	青鬼碎片	2	30010041	1	0	2000
23	0	999	青鬼王碎片	2	30010042	1	0	800
24	0	999	幸运兔碎片	2	30010043	1	0	2000
25	0	999	猫又碎片	2	30010046	1	0	2000
26	0	999	夜魇碎片	2	30010049	1	0	800
27	0	999	月兔碎片	2	30010052	1	0	800
28	0	999	欲望君主碎片	2	30010053	1	0	800
29	0	999	妖狐少女碎片	2	30010055	1	0	800
30	0	999	赤鬼王碎片	2	30010057	1	0	800
31	0	999	赤鬼碎片	2	30010058	1	0	2000
32	0	999	白蛇妖碎片	2	30010059	1	0	800
33	0	999	雪女碎片	2	30010062	1	0	800
34	0	999	九尾妖狐碎片	2	30010066	1	0	800
35	0	999	鬼巫女碎片	2	30010067	1	0	800
36	0	999	座敷童子碎片	2	30010069	1	0	800
37	0	999	穿越者碎片	2	30010100	1	0	800
38	0	999	钢妹碎片	2	30010101	1	0	800
39	40	999	明日少尉碎片	2	30010201	1	0	100
40	40	999	斗人碎片	2	30010202	1	0	100
41	40	999	炮姐碎片	2	30010203	1	0	100
42	40	999	黑色射手碎片	2	30010204	1	0	100
43	40	999	波波利碎片	2	30010205	1	0	100
44	40	999	zero碎片	2	30010206	1	0	100
45	40	999	妖妄之梦碎片	2	30010207	1	0	100
46	40	999	幽灵公主碎片	2	30010208	1	0	100
47	40	999	红白碎片	2	30010209	1	0	100
48	40	999	C.C碎片	2	30010211	1	0	100
49	40	999	初音战士碎片	2	30010212	1	0	100
50	40	999	奈亚酱碎片	2	30010213	1	0	100
51	40	999	黑子碎片	2	30010214	1	0	100
52	40	999	紫妈碎片	2	30010215	1	0	100
53	50	999	装备改造石	2	50010001	1	0	4000
54	0	999	商店刷新石	2	50020001	1	0	2000
55	30	999	神之金属	2	50070001	1	0	4000
56	0	999	狂野巨剑碎片	2	70010101	1	0	500
57	0	999	钢化之枪碎片	2	70010102	1	0	500
58	0	999	极速之光碎片	2	70010103	1	0	500
59	0	999	守护之锤碎片	2	70010104	1	0	500
60	0	999	疾风手枪碎片	2	70010105	1	0	500
61	0	999	毁灭镰刀碎片	2	70010106	1	0	500
62	0	999	活力巨剑碎片	2	70010201	1	0	500
63	0	999	合金之枪碎片	2	70010202	1	0	500
64	0	999	迅影之光碎片	2	70010203	1	0	500
65	0	999	暮冰之锤碎片	2	70010204	1	0	500
66	0	999	裂空手枪碎片	2	70010205	1	0	500
67	0	999	玄铁镰刀碎片	2	70010206	1	0	500
68	30	999	精金巨剑碎片	2	70010301	1	0	200
69	30	999	秘银之枪碎片	2	70010302	1	0	200
70	30	999	无双之光碎片	2	70010303	1	0	200
71	30	999	幻影之锤碎片	2	70010304	1	0	200
72	30	999	封灵手枪碎片	2	70010305	1	0	200
73	30	999	暗影镰刀碎片	2	70010306	1	0	200
74	50	999	永恒巨剑碎片	2	70010401	1	0	50
75	50	999	晶铸之枪碎片	2	70010402	1	0	50
