INT	INT	STRING	INT	INT	INT	INT
id	经过起点次数	名字	type	value1	value2	value3
1001	1	精炼金属	2	50070001	8	0
1002	5	能力水晶	2	50090001	20	0
1003	10	神之金属	2	50100001	10	0
1004	20	队形强化装置	2	50140001	20	0
1005	40	装备改造石	2	50010001	10	0
1006	60	红色伙伴之力	2	50110001	2	0
1007	80	红色装备之力	2	50120001	2	0
1008	100	精炼金属	2	50070001	20	0
1009	130	能力水晶	2	50090001	60	0
1010	150	神之金属	2	50100001	40	0
1011	180	队形强化装置	2	50140001	60	0
1012	200	装备改造石	2	50010001	25	0
1013	220	红色伙伴之力	2	50110001	5	0
1014	250	红色装备之力	2	50120001	5	0
1015	280	精炼金属	2	50070001	60	0
1016	300	能力水晶	2	50090001	100	0
1017	330	红色伙伴之力	2	50110001	10	0
1018	350	红色装备之力	2	50120001	10	0
