INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
排名1	排名2	1普通2精英	type	value1	value2	value3	type	value1	value2	value3	type	value1	value2	value3
1	1	1	2	10010067	1	0	2	50090001	500	0	2	50100001	1000	0
2	2	1	2	10010067	1	0	2	50090001	480	0	2	50100001	950	0
3	3	1	2	10010067	1	0	2	50090001	460	0	2	50100001	900	0
4	5	1	2	10010067	1	0	2	50090001	440	0	2	50100001	850	0
6	10	1	2	50090001	420	0	2	50100001	800	0				
11	15	1	2	50090001	400	0	2	50100001	750	0				
16	20	1	2	50090001	380	0	2	50100001	700	0				
21	30	1	2	50090001	360	0	2	50100001	650	0				
31	40	1	2	50090001	340	0	2	50100001	600	0				
41	50	1	2	50090001	320	0	2	50100001	550	0				
51	60	1	2	50090001	300	0	2	50100001	500	0				
61	70	1	2	50090001	280	0	2	50100001	450	0				
71	80	1	2	50090001	260	0	2	50100001	400	0				
81	90	1	2	50090001	230	0	2	50100001	350	0				
91	100	1	2	50090001	200	0	2	50100001	300	0				
1	1	2	2	10030012	1	0	2	50140001	2000	0	2	50010001	500	0
2	2	2	2	10030013	1	0	2	50140001	1800	0	2	50010001	450	0
3	3	2	2	10030013	1	0	2	50140001	1600	0	2	50010001	400	0
4	5	2	2	10030003	1	0	2	50140001	1400	0	2	50010001	350	0
6	10	2	2	10030002	1	0	2	50140001	1200	0	2	50010001	300	0
11	15	2	2	10030002	1	0	2	50140001	1150	0	2	50010001	290	0
16	20	2	2	10030002	1	0	2	50140001	1100	0	2	50010001	280	0
21	30	2	2	10030002	1	0	2	50140001	1050	0	2	50010001	270	0
31	40	2	2	10030002	1	0	2	50140001	1000	0	2	50010001	260	0
41	50	2	2	10030002	1	0	2	50140001	950	0	2	50010001	250	0
51	60	2	2	10030002	1	0	2	50140001	900	0	2	50010001	240	0
61	70	2	2	10030002	1	0	2	50140001	850	0	2	50010001	230	0
71	80	2	2	10030002	1	0	2	50140001	800	0	2	50010001	220	0
81	90	2	2	10030002	1	0	2	50140001	750	0	2	50010001	210	0
91	100	2	2	10030002	1	0	2	50140001	700	0	2	50010001	200	0
