INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	STRING	STRING
index	简单怪物id1	简单怪物id2	简单怪物id3	简单怪物id4	简单怪物id5	金币	勋章	简单推荐战力	普通怪物id1	普通怪物id2	普通怪物id3	普通怪物id4	普通怪物id5	金币	勋章	普通推荐战力	困难怪物id1	困难怪物id2	困难怪物id3	困难怪物id4	困难怪物id5	金币	勋章	困难推荐战力	条件type 1消灭全部敌人 2N回合消灭全部敌人 567 3我方死亡人数不超过N人 210 4我方剩余血量不低于总血量的N% 567	条件value	条件	代号	怪物对话
1	50010011	50010012	50010012	50010012	50010012	800	40	25019	50010021	50010022	50010022	50010022	50010022	1600	80	37787	50010031	50010032	50010032	50010032	50010032	2400	120	49802	1		消灭全部敌人	t_ttt_target_1	t_ttt_dialog_1
2	50020011	50020012	50020012	50020012	50020012	800	40	50191	50020021	50020022	50020022	50020022	50020022	1600	80	63315	50020031	50020032	50020032	50020032	50020032	2400	120	73887	1		消灭全部敌人	t_ttt_target_2	t_ttt_dialog_2
3	50030011	50030012	50030012	50030012	50030012	800	40	72906	50030021	50030022	50030022	50030022	50030022	1600	80	89249	50030031	50030032	50030032	50030032	50030032	2400	120	107094	1		消灭全部敌人	t_ttt_target_3	t_ttt_dialog_3
4	50040011	50040012	50040012	50040012	50040012	800	40	80425	50040021	50040022	50040022	50040022	50040022	1600	80	118134	50040031	50040032	50040032	50040032	50040032	2400	120	164031	2	6	6回合内消灭全部敌人	t_ttt_target_4	t_ttt_dialog_4
5	50050011	50050012	50050012	50050012	50050012	800	40	106073	50050021	50050022	50050022	50050022	50050022	1600	80	147294	50050031	50050032	50050032	50050032	50050032	2400	120	184542	2	6	6回合内消灭全部敌人	t_ttt_target_5	t_ttt_dialog_5
6	50060011	50060012	50060012	50060012	50060012	800	40	149892	50060021	50060022	50060022	50060022	50060022	1600	80	187856	50060031	50060032	50060032	50060032	50060032	2400	120	228867	2	6	6回合内消灭全部敌人	t_ttt_target_6	t_ttt_dialog_6
7	50070011	50070012	50070012	50070012	50070012	800	40	214672	50070021	50070022	50070022	50070022	50070022	1600	80	260517	50070031	50070032	50070032	50070032	50070032	2400	120	305069	3	3	我方死亡人数不超过3人	t_ttt_target_7	t_ttt_dialog_7
8	50080011	50080012	50080012	50080012	50080012	800	40	209334	50080021	50080022	50080022	50080022	50080022	1600	80	273570	50080031	50080032	50080032	50080032	50080032	2400	120	362301	3	3	我方死亡人数不超过3人	t_ttt_target_8	t_ttt_dialog_8
9	50090011	50090012	50090012	50090012	50090012	800	40	287690	50090021	50090022	50090022	50090022	50090022	1600	80	359404	50090031	50090032	50090032	50090032	50090032	2400	120	500478	3	3	我方死亡人数不超过3人	t_ttt_target_9	t_ttt_dialog_9
10	50100011	50100012	50100012	50100012	50100012	800	40	308357	50100021	50100022	50100022	50100022	50100022	1600	80	413459	50100031	50100032	50100032	50100032	50100032	2400	120	548786	4	50	我方剩余血量不低于总血量的50%	t_ttt_target_10	t_ttt_dialog_10
11	50110011	50110012	50110012	50110012	50110012	800	40	354324	50110021	50110022	50110022	50110022	50110022	1600	80	468528	50110031	50110032	50110032	50110032	50110032	2400	120	651210	4	50	我方剩余血量不低于总血量的50%	t_ttt_target_11	t_ttt_dialog_11
12	50120011	50120012	50120012	50120012	50120012	800	40	403521	50120021	50120022	50120022	50120022	50120022	1600	80	589794	50120031	50120032	50120032	50120032	50120032	2400	120	907483	4	50	我方剩余血量不低于总血量的50%	t_ttt_target_12	t_ttt_dialog_12
13	50130011	50130012	50130012	50130012	50130012	800	40	454844	50130021	50130022	50130022	50130022	50130022	1600	80	685335	50130031	50130032	50130032	50130032	50130032	2400	120	987944	2	5	5回合内消灭全部敌人	t_ttt_target_13	t_ttt_dialog_13
14	50140011	50140012	50140012	50140012	50140012	800	40	604389	50140021	50140022	50140022	50140022	50140022	1600	80	897608	50140031	50140032	50140032	50140032	50140032	2400	120	1212059	2	5	5回合内消灭全部敌人	t_ttt_target_14	t_ttt_dialog_14
15	50150011	50150012	50150012	50150012	50150012	800	40	771275	50150021	50150022	50150022	50150022	50150022	1600	80	1084425	50150031	50150032	50150032	50150032	50150032	2400	120	1468638	2	5	5回合内消灭全部敌人	t_ttt_target_15	t_ttt_dialog_15
16	50160011	50160012	50160012	50160012	50160012	800	40	722415	50160021	50160022	50160022	50160022	50160022	1600	80	1108604	50160031	50160032	50160032	50160032	50160032	2400	120	1613469	3	2	我方死亡人数不超过2人	t_ttt_target_16	t_ttt_dialog_16
17	50170011	50170012	50170012	50170012	50170012	800	40	865383	50170021	50170022	50170022	50170022	50170022	1600	80	1252477	50170031	50170032	50170032	50170032	50170032	2400	120	1859649	3	2	我方死亡人数不超过2人	t_ttt_target_17	t_ttt_dialog_17
18	50180011	50180012	50180012	50180012	50180012	800	40	1029392	50180021	50180022	50180022	50180022	50180022	1600	80	1518856	50180031	50180032	50180032	50180032	50180032	2400	120	2181295	3	2	我方死亡人数不超过2人	t_ttt_target_18	t_ttt_dialog_18
19	50190011	50190012	50190012	50190012	50190012	800	40	1304051	50190021	50190022	50190022	50190022	50190022	1600	80	1947089	50190031	50190032	50190032	50190032	50190032	2400	120	2691748	4	60	我方剩余血量不低于总血量的60%	t_ttt_target_19	t_ttt_dialog_19
20	50200011	50200012	50200012	50200012	50200012	800	40	1357542	50200021	50200022	50200022	50200022	50200022	1600	80	2188762	50200031	50200032	50200032	50200032	50200032	2400	120	3195214	4	60	我方剩余血量不低于总血量的60%	t_ttt_target_20	t_ttt_dialog_20
21	50210011	50210012	50210012	50210012	50210012	800	40	1525238	50210021	50210022	50210022	50210022	50210022	1600	80	2346834	50210031	50210032	50210032	50210032	50210032	2400	120	3396254	4	60	我方剩余血量不低于总血量的60%	t_ttt_target_21	t_ttt_dialog_21
22	50220011	50220012	50220012	50220012	50220012	800	40	1725495	50220021	50220022	50220022	50220022	50220022	1600	80	2581383	50220031	50220032	50220032	50220032	50220032	2400	120	3838536	2	4	4回合内消灭全部敌人	t_ttt_target_22	t_ttt_dialog_22
23	50230011	50230012	50230012	50230012	50230012	800	40	2068865	50230021	50230022	50230022	50230022	50230022	1600	80	3020995	50230031	50230032	50230032	50230032	50230032	2400	120	4596936	2	4	4回合内消灭全部敌人	t_ttt_target_23	t_ttt_dialog_23
24	50240011	50240012	50240012	50240012	50240012	800	40	2271957	50240021	50240022	50240022	50240022	50240022	1600	80	3484607	50240031	50240032	50240032	50240032	50240032	2400	120	5719364	2	4	4回合内消灭全部敌人	t_ttt_target_24	t_ttt_dialog_24
25	50250011	50250012	50250012	50250012	50250012	800	40	2314734	50250021	50250022	50250022	50250022	50250022	1600	80	3606602	50250031	50250032	50250032	50250032	50250032	2400	120	6011762	3	1	我方死亡人数不超过1人	t_ttt_target_25	t_ttt_dialog_25
26	50260011	50260012	50260012	50260012	50260012	800	40	2641604	50260021	50260022	50260022	50260022	50260022	1600	80	4189743	50260031	50260032	50260032	50260032	50260032	2400	120	6891486	3	1	我方死亡人数不超过1人	t_ttt_target_26	t_ttt_dialog_26
