INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
vip等级	type	value1	value1	value3	type	value1	value1	value3	type	value1	value2	value3	type	value1	value1	value3	type	value1	value1	value3	type	value1	value2	value3
0	1	1	30000	0																				
1	1	1	60000	0																				
2	1	1	90000	0																				
3	1	1	120000	0	2	50090001	5	0																
4	1	1	150000	0	2	50090001	10	0																
5	1	1	180000	0	2	50090001	15	0	2	50070001	10	0	2	50100001	10	0								
6	1	1	210000	0	2	50090001	20	0	2	50070001	20	0	2	50100001	20	0								
7	1	1	240000	0	2	50090001	25	0	2	50070001	30	0	2	50100001	30	0								
8	1	1	270000	0	2	50090001	30	0	2	50070001	40	0	2	50100001	40	0	2	50140001	50	0				
9	1	1	300000	0	2	50090001	35	0	2	50070001	50	0	2	50100001	50	0	2	50140001	60	0				
10	1	1	330000	0	2	50090001	40	0	2	50070001	60	0	2	50100001	60	0	2	50140001	70	0				
11	1	1	360000	0	2	50090001	45	0	2	50070001	70	0	2	50100001	70	0	2	50140001	80	0				
12	1	1	390000	0	2	50090001	50	0	2	50070001	80	0	2	50100001	80	0	2	50140001	90	0				
13	1	1	500000	0	2	50090001	60	0	2	50070001	95	0	2	50100001	95	0	2	50140001	105	0				
14	1	1	700000	0	2	50090001	70	0	2	50070001	110	0	2	50100001	110	0	2	50140001	120	0				
15	1	1	1000000	0	2	50090001	80	0	2	50070001	125	0	2	50100001	125	0	2	50140001	135	0				
