INT	INT	STRING	INT	INT	INT
位置	type 1起点 2传送门 3金币宝箱 4原力宝箱 5祝福 6诅咒 7随机事件 8战斗 9小据点 10BOSS据点 11最终宝箱	name	地板	def1	def2
1	2	t_xjbz_name_1	2	42	2
2	5	t_xjbz_name_2	3		
12	4	t_xjbz_name_12	0		
20	1	t_xjbz_name_20	1	42	2
22	8	t_xjbz_name_22	7		
24	7	t_xjbz_name_24	2		
25	8	t_xjbz_name_25	1		
26	3	t_xjbz_name_26	7		
27	8	t_xjbz_name_27	5		
28	6	t_xjbz_name_28	0		
29	9	t_xjbz_name_29	2		
30	8	t_xjbz_name_30	7		
32	3	t_xjbz_name_32	1		
34	3	t_xjbz_name_34	7		
37	8	t_xjbz_name_37	3		
39	3	t_xjbz_name_39	5		
40	8	t_xjbz_name_40	1		
41	8	t_xjbz_name_41	6		
42	7	t_xjbz_name_42	7		
44	8	t_xjbz_name_44	1		
45	5	t_xjbz_name_45	2		
46	8	t_xjbz_name_46	4		
47	7	t_xjbz_name_47	5		
49	4	t_xjbz_name_49	3		
52	3	t_xjbz_name_52	1		
56	8	t_xjbz_name_56	4		
58	7	t_xjbz_name_58	0		
59	8	t_xjbz_name_59	7		
60	8	t_xjbz_name_60	2		
61	6	t_xjbz_name_61	4		
62	8	t_xjbz_name_62	0		
63	8	t_xjbz_name_63	1		
64	7	t_xjbz_name_64	6		
66	4	t_xjbz_name_66	3		
68	3	t_xjbz_name_68	2		
70	4	t_xjbz_name_70	6		
74	6	t_xjbz_name_74	3		
75	3	t_xjbz_name_75	7		
76	7	t_xjbz_name_76	1		
78	5	t_xjbz_name_78	6		
79	10	t_xjbz_name_79	1		
80	8	t_xjbz_name_80	7		
82	8	t_xjbz_name_82	7		
83	5	t_xjbz_name_83	2		
84	7	t_xjbz_name_84	7		
87	2	t_xjbz_name_87	6	84	1
89	11	t_xjbz_name_89	7		
90	7	t_xjbz_name_90	1		
91	3	t_xjbz_name_91	1		
92	8	t_xjbz_name_92	3		
94	6	t_xjbz_name_94	3		
95	8	t_xjbz_name_95	4		
96	3	t_xjbz_name_96	0		
97	8	t_xjbz_name_97	1		
