INT	INT	INT	INT	INT	INT	INT	INT	INT			
index	type	value1	value2	value3	type	value1	value2	value3			
1	1	1	1280000	0	1	1	3180000	0			
2	1	1	1680000	0	1	1	4180000	0			
3	1	6	12880	0	1	6	28880	0			
4	1	6	16880	0	1	6	39880	0			
5	1	2	388	0	1	2	888	0			
6	2	50090001	228	0	2	50090001	498	0			
7	2	50090001	328	0	2	50090001	688	0			
8	2	50140001	588	0	2	50140001	888	0			
9	2	50140001	688	0	2	50140001	1688	0			
10	1	2	488	0	1	2	1288	0			
11	2	50070001	666	0	2	50070001	1388	0			
12	2	50070001	888	0	2	50070001	1888	0			
13	2	50100001	588	0	2	50100001	1288	0			
14	2	50100001	688	0	2	50100001	1888	0			
15	1	2	588	0	1	2	1588	0			
16	2	10010062	3	0	2	10010062	8	0			
17	2	10010062	5	0	2	10010062	12	0			
18	2	10010082	5	0	2	10010082	10	0			
19	2	10010083	5	0	2	10010083	10	0			
20	2	10030010	1	0	2	10030011	1	0			
