INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	类型1幸运2豪华	tpye	value1	value2	value3	奖池金额	rate1	奖池金额	rate2	奖池金额	rate3	奖池金额	rate4	普通0 稀有1
1001	1	2	50090001	1	0		2000		2000		2000		2000	0
1002	1	2	50090001	2	0		1900		1900		1900		1900	0
1003	1	2	50090001	3	0		1800		1800		1800		1800	0
1004	1	1	1	25000	0		2000		2000		2000		2000	0
1005	1	1	1	30000	0		2000		2000		2000		2000	0
1006	1	1	1	35000	0		2000		2000		2000		2000	0
1007	1	1	1	1000000	0		2		2		2		2	1
1008	1	2	50150001	4	0		2000		2000		2000		2000	0
1009	1	2	50150001	5	0		2000		2000		2000		2000	0
1010	1	2	50150001	6	0		2000		2000		2000		2000	0
1011	1	2	10010068	1	0		10		10		10		10	1
1012	1	1	2	0	50	0	1	300	300	500	500	700	700	1
2001	2	2	50090001	10	0		2000		2000		2000		2000	0
2002	2	2	50090001	20	0		1900		1900		1900		1900	0
2003	2	2	50090001	30	0		1800		1800		1800		1800	0
2004	2	1	1	250000	0		2000		2000		2000		2000	0
2005	2	1	1	300000	0		2000		2000		2000		2000	0
2006	2	1	1	350000	0		2000		2000		2000		2000	0
2007	2	1	1	10000000	0		2		2		2		2	1
2008	2	2	50150001	40	0		2000		2000		2000		2000	0
2009	2	2	50150001	50	0		2000		2000		2000		2000	0
2010	2	2	50150001	60	0		2000		2000		2000		2000	0
2011	2	2	10010067	1	0		10		10		10		10	1
2012	2	1	2	0	50	0	1	3000	300	5000	500	7000	700	1
